Post Title,Post Date,Week #,Day,Content Category,Primary Topic,Market Focus,Example Prompt / Angle,Primary Platform,Secondary Platform,Target Audience,Owner,Status,Asset Type,Asset Link,Post URL,Notes / Purpose,UTM Campaign,UTM Content,Language,Repurpose From,Repurpose To
USDA Snapshot - 212026,1/15/2026,2,Thursday,USDA Snapshot,Export Sales / WASDE,US,USDA data reaction: what actually matters vs. headline numbers,X,LinkedIn,"US traders, ag economists",Tore Alden,Planned,Post,,,,rlc_2026-01-15,,EN,,
Market Structure Insight - 212026,1/16/2026,2,Friday,Market Structure Insight,Oilseed demand outlook,Global,"How SAF, renewable diesel, and meal demand reshape global oilseed balances",LinkedIn,,"Executives, strategists",Tore Alden,Planned,Post,,,,rlc_2026-01-16,,EN,,
Market Microstructure - 212026,1/17/2026,2,Saturday,Market Microstructure,Basis / spreads / flows,US + Global,What the basis/spread is really saying about physical tightness (with one clean chart),X,LinkedIn,"Traders, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-01-17,,EN,,
Weekend Recap - 212026,1/18/2026,2,Sunday,Weekend Recap,Top 3 themes this week,US + Brazil,Three charts + five bullets: what moved markets this week and what’s next,LinkedIn,WhatsApp,Broad audience,Tore Alden,Planned,Post,,,,rlc_2026-01-18,,EN,,
SAF Watch - 312026,1/19/2026,3,Monday,SAF Watch,SAF capacity & feedstock demand,US + Global,SAF capacity additions vs. UCO/tallow/soy oil availability – who wins the margin battle?,LinkedIn,X,"US ag professionals, policy-aware investors",Tore Alden,Planned,Post,,,,rlc_2026-01-19,,EN,,
Chart of the Day - 312026,1/20/2026,3,Tuesday,Chart of the Day,Soy oil vs ULSD spread,US Biofuels,Chart: Soy oil – ULSD economics and implications for renewable diesel run rates,X,LinkedIn,"Traders, analysts",Tore Alden,Planned,Post,,,,rlc_2026-01-20,,EN,,
Brazil Crop Update - 312026,1/21/2026,3,Wednesday,Brazil Crop Update,Mato Grosso soy conditions,Brazil,"Brazil soy crop progress, weather, and export implications for Gulf basis",LinkedIn,WhatsApp (PT),"Brazilian farmers, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-01-21,,EN,,
USDA Snapshot - 312026,1/22/2026,3,Thursday,USDA Snapshot,Export Sales / WASDE,US,USDA data reaction: what actually matters vs. headline numbers,X,LinkedIn,"US traders, ag economists",Tore Alden,Planned,Post,,,,rlc_2026-01-22,,EN,,
Market Structure Insight - 312026,1/23/2026,3,Friday,Market Structure Insight,Oilseed demand outlook,Global,"How SAF, renewable diesel, and meal demand reshape global oilseed balances",LinkedIn,,"Executives, strategists",Tore Alden,Planned,Post,,,,rlc_2026-01-23,,EN,,
Market Microstructure - 312026,1/24/2026,3,Saturday,Market Microstructure,Basis / spreads / flows,US + Global,What the basis/spread is really saying about physical tightness (with one clean chart),X,LinkedIn,"Traders, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-01-24,,EN,,
Weekend Recap - 312026,1/25/2026,3,Sunday,Weekend Recap,Top 3 themes this week,US + Brazil,Three charts + five bullets: what moved markets this week and what’s next,LinkedIn,WhatsApp,Broad audience,Tore Alden,Planned,Post,,,,rlc_2026-01-25,,EN,,
SAF Watch - 412026,1/26/2026,4,Monday,SAF Watch,SAF capacity & feedstock demand,US + Global,SAF capacity additions vs. UCO/tallow/soy oil availability – who wins the margin battle?,LinkedIn,X,"US ag professionals, policy-aware investors",Tore Alden,Planned,Post,,,,rlc_2026-01-26,,EN,,
Chart of the Day - 412026,1/27/2026,4,Tuesday,Chart of the Day,Soy oil vs ULSD spread,US Biofuels,Chart: Soy oil – ULSD economics and implications for renewable diesel run rates,X,LinkedIn,"Traders, analysts",Tore Alden,Planned,Post,,,,rlc_2026-01-27,,EN,,
Brazil Crop Update - 412026,1/28/2026,4,Wednesday,Brazil Crop Update,Mato Grosso soy conditions,Brazil,"Brazil soy crop progress, weather, and export implications for Gulf basis",LinkedIn,WhatsApp (PT),"Brazilian farmers, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-01-28,,EN,,
USDA Snapshot - 412026,1/29/2026,4,Thursday,USDA Snapshot,Export Sales / WASDE,US,USDA data reaction: what actually matters vs. headline numbers,X,LinkedIn,"US traders, ag economists",Tore Alden,Planned,Post,,,,rlc_2026-01-29,,EN,,
Market Structure Insight - 412026,1/30/2026,4,Friday,Market Structure Insight,Oilseed demand outlook,Global,"How SAF, renewable diesel, and meal demand reshape global oilseed balances",LinkedIn,,"Executives, strategists",Tore Alden,Planned,Post,,,,rlc_2026-01-30,,EN,,
Market Microstructure - 412026,1/31/2026,4,Saturday,Market Microstructure,Basis / spreads / flows,US + Global,What the basis/spread is really saying about physical tightness (with one clean chart),X,LinkedIn,"Traders, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-01-31,,EN,,
Weekend Recap - 422026,2/1/2026,4,Sunday,Weekend Recap,Top 3 themes this week,US + Brazil,Three charts + five bullets: what moved markets this week and what’s next,LinkedIn,WhatsApp,Broad audience,Tore Alden,Planned,Post,,,,rlc_2026-02-01,,EN,,
SAF Watch - 522026,2/2/2026,5,Monday,SAF Watch,SAF capacity & feedstock demand,US + Global,SAF capacity additions vs. UCO/tallow/soy oil availability – who wins the margin battle?,LinkedIn,X,"US ag professionals, policy-aware investors",Tore Alden,Planned,Post,,,,rlc_2026-02-02,,EN,,
Chart of the Day - 522026,2/3/2026,5,Tuesday,Chart of the Day,Soy oil vs ULSD spread,US Biofuels,Chart: Soy oil – ULSD economics and implications for renewable diesel run rates,X,LinkedIn,"Traders, analysts",Tore Alden,Planned,Post,,,,rlc_2026-02-03,,EN,,
Brazil Crop Update - 522026,2/4/2026,5,Wednesday,Brazil Crop Update,Mato Grosso soy conditions,Brazil,"Brazil soy crop progress, weather, and export implications for Gulf basis",LinkedIn,WhatsApp (PT),"Brazilian farmers, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-02-04,,EN,,
USDA Snapshot - 522026,2/5/2026,5,Thursday,USDA Snapshot,Export Sales / WASDE,US,USDA data reaction: what actually matters vs. headline numbers,X,LinkedIn,"US traders, ag economists",Tore Alden,Planned,Post,,,,rlc_2026-02-05,,EN,,
Market Structure Insight - 522026,2/6/2026,5,Friday,Market Structure Insight,Oilseed demand outlook,Global,"How SAF, renewable diesel, and meal demand reshape global oilseed balances",LinkedIn,,"Executives, strategists",Tore Alden,Planned,Post,,,,rlc_2026-02-06,,EN,,
Market Microstructure - 522026,2/7/2026,5,Saturday,Market Microstructure,Basis / spreads / flows,US + Global,What the basis/spread is really saying about physical tightness (with one clean chart),X,LinkedIn,"Traders, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-02-07,,EN,,
Weekend Recap - 522026,2/8/2026,5,Sunday,Weekend Recap,Top 3 themes this week,US + Brazil,Three charts + five bullets: what moved markets this week and what’s next,LinkedIn,WhatsApp,Broad audience,Tore Alden,Planned,Post,,,,rlc_2026-02-08,,EN,,
SAF Watch - 622026,2/9/2026,6,Monday,SAF Watch,SAF capacity & feedstock demand,US + Global,SAF capacity additions vs. UCO/tallow/soy oil availability – who wins the margin battle?,LinkedIn,X,"US ag professionals, policy-aware investors",Tore Alden,Planned,Post,,,,rlc_2026-02-09,,EN,,
Chart of the Day - 622026,2/10/2026,6,Tuesday,Chart of the Day,Soy oil vs ULSD spread,US Biofuels,Chart: Soy oil – ULSD economics and implications for renewable diesel run rates,X,LinkedIn,"Traders, analysts",Tore Alden,Planned,Post,,,,rlc_2026-02-10,,EN,,
Brazil Crop Update - 622026,2/11/2026,6,Wednesday,Brazil Crop Update,Mato Grosso soy conditions,Brazil,"Brazil soy crop progress, weather, and export implications for Gulf basis",LinkedIn,WhatsApp (PT),"Brazilian farmers, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-02-11,,EN,,
USDA Snapshot - 622026,2/12/2026,6,Thursday,USDA Snapshot,Export Sales / WASDE,US,USDA data reaction: what actually matters vs. headline numbers,X,LinkedIn,"US traders, ag economists",Tore Alden,Planned,Post,,,,rlc_2026-02-12,,EN,,
Market Structure Insight - 622026,2/13/2026,6,Friday,Market Structure Insight,Oilseed demand outlook,Global,"How SAF, renewable diesel, and meal demand reshape global oilseed balances",LinkedIn,,"Executives, strategists",Tore Alden,Planned,Post,,,,rlc_2026-02-13,,EN,,
Market Microstructure - 622026,2/14/2026,6,Saturday,Market Microstructure,Basis / spreads / flows,US + Global,What the basis/spread is really saying about physical tightness (with one clean chart),X,LinkedIn,"Traders, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-02-14,,EN,,
Weekend Recap - 622026,2/15/2026,6,Sunday,Weekend Recap,Top 3 themes this week,US + Brazil,Three charts + five bullets: what moved markets this week and what’s next,LinkedIn,WhatsApp,Broad audience,Tore Alden,Planned,Post,,,,rlc_2026-02-15,,EN,,
SAF Watch - 722026,2/16/2026,7,Monday,SAF Watch,SAF capacity & feedstock demand,US + Global,SAF capacity additions vs. UCO/tallow/soy oil availability – who wins the margin battle?,LinkedIn,X,"US ag professionals, policy-aware investors",Tore Alden,Planned,Post,,,,rlc_2026-02-16,,EN,,
Chart of the Day - 722026,2/17/2026,7,Tuesday,Chart of the Day,Soy oil vs ULSD spread,US Biofuels,Chart: Soy oil – ULSD economics and implications for renewable diesel run rates,X,LinkedIn,"Traders, analysts",Tore Alden,Planned,Post,,,,rlc_2026-02-17,,EN,,
Brazil Crop Update - 722026,2/18/2026,7,Wednesday,Brazil Crop Update,Mato Grosso soy conditions,Brazil,"Brazil soy crop progress, weather, and export implications for Gulf basis",LinkedIn,WhatsApp (PT),"Brazilian farmers, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-02-18,,EN,,
USDA Snapshot - 722026,2/19/2026,7,Thursday,USDA Snapshot,Export Sales / WASDE,US,USDA data reaction: what actually matters vs. headline numbers,X,LinkedIn,"US traders, ag economists",Tore Alden,Planned,Post,,,,rlc_2026-02-19,,EN,,
Market Structure Insight - 722026,2/20/2026,7,Friday,Market Structure Insight,Oilseed demand outlook,Global,"How SAF, renewable diesel, and meal demand reshape global oilseed balances",LinkedIn,,"Executives, strategists",Tore Alden,Planned,Post,,,,rlc_2026-02-20,,EN,,
Market Microstructure - 722026,2/21/2026,7,Saturday,Market Microstructure,Basis / spreads / flows,US + Global,What the basis/spread is really saying about physical tightness (with one clean chart),X,LinkedIn,"Traders, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-02-21,,EN,,
Weekend Recap - 722026,2/22/2026,7,Sunday,Weekend Recap,Top 3 themes this week,US + Brazil,Three charts + five bullets: what moved markets this week and what’s next,LinkedIn,WhatsApp,Broad audience,Tore Alden,Planned,Post,,,,rlc_2026-02-22,,EN,,
SAF Watch - 822026,2/23/2026,8,Monday,SAF Watch,SAF capacity & feedstock demand,US + Global,SAF capacity additions vs. UCO/tallow/soy oil availability – who wins the margin battle?,LinkedIn,X,"US ag professionals, policy-aware investors",Tore Alden,Planned,Post,,,,rlc_2026-02-23,,EN,,
Chart of the Day - 822026,2/24/2026,8,Tuesday,Chart of the Day,Soy oil vs ULSD spread,US Biofuels,Chart: Soy oil – ULSD economics and implications for renewable diesel run rates,X,LinkedIn,"Traders, analysts",Tore Alden,Planned,Post,,,,rlc_2026-02-24,,EN,,
Brazil Crop Update - 822026,2/25/2026,8,Wednesday,Brazil Crop Update,Mato Grosso soy conditions,Brazil,"Brazil soy crop progress, weather, and export implications for Gulf basis",LinkedIn,WhatsApp (PT),"Brazilian farmers, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-02-25,,EN,,
USDA Snapshot - 822026,2/26/2026,8,Thursday,USDA Snapshot,Export Sales / WASDE,US,USDA data reaction: what actually matters vs. headline numbers,X,LinkedIn,"US traders, ag economists",Tore Alden,Planned,Post,,,,rlc_2026-02-26,,EN,,
Market Structure Insight - 822026,2/27/2026,8,Friday,Market Structure Insight,Oilseed demand outlook,Global,"How SAF, renewable diesel, and meal demand reshape global oilseed balances",LinkedIn,,"Executives, strategists",Tore Alden,Planned,Post,,,,rlc_2026-02-27,,EN,,
Market Microstructure - 822026,2/28/2026,8,Saturday,Market Microstructure,Basis / spreads / flows,US + Global,What the basis/spread is really saying about physical tightness (with one clean chart),X,LinkedIn,"Traders, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-02-28,,EN,,
Weekend Recap - 832026,3/1/2026,8,Sunday,Weekend Recap,Top 3 themes this week,US + Brazil,Three charts + five bullets: what moved markets this week and what’s next,LinkedIn,WhatsApp,Broad audience,Tore Alden,Planned,Post,,,,rlc_2026-03-01,,EN,,
SAF Watch - 932026,3/2/2026,9,Monday,SAF Watch,SAF capacity & feedstock demand,US + Global,SAF capacity additions vs. UCO/tallow/soy oil availability – who wins the margin battle?,LinkedIn,X,"US ag professionals, policy-aware investors",Tore Alden,Planned,Post,,,,rlc_2026-03-02,,EN,,
Chart of the Day - 932026,3/3/2026,9,Tuesday,Chart of the Day,Soy oil vs ULSD spread,US Biofuels,Chart: Soy oil – ULSD economics and implications for renewable diesel run rates,X,LinkedIn,"Traders, analysts",Tore Alden,Planned,Post,,,,rlc_2026-03-03,,EN,,
Brazil Crop Update - 932026,3/4/2026,9,Wednesday,Brazil Crop Update,Mato Grosso soy conditions,Brazil,"Brazil soy crop progress, weather, and export implications for Gulf basis",LinkedIn,WhatsApp (PT),"Brazilian farmers, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-03-04,,EN,,
USDA Snapshot - 932026,3/5/2026,9,Thursday,USDA Snapshot,Export Sales / WASDE,US,USDA data reaction: what actually matters vs. headline numbers,X,LinkedIn,"US traders, ag economists",Tore Alden,Planned,Post,,,,rlc_2026-03-05,,EN,,
Market Structure Insight - 932026,3/6/2026,9,Friday,Market Structure Insight,Oilseed demand outlook,Global,"How SAF, renewable diesel, and meal demand reshape global oilseed balances",LinkedIn,,"Executives, strategists",Tore Alden,Planned,Post,,,,rlc_2026-03-06,,EN,,
Market Microstructure - 932026,3/7/2026,9,Saturday,Market Microstructure,Basis / spreads / flows,US + Global,What the basis/spread is really saying about physical tightness (with one clean chart),X,LinkedIn,"Traders, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-03-07,,EN,,
Weekend Recap - 932026,3/8/2026,9,Sunday,Weekend Recap,Top 3 themes this week,US + Brazil,Three charts + five bullets: what moved markets this week and what’s next,LinkedIn,WhatsApp,Broad audience,Tore Alden,Planned,Post,,,,rlc_2026-03-08,,EN,,
SAF Watch - 1032026,3/9/2026,10,Monday,SAF Watch,SAF capacity & feedstock demand,US + Global,SAF capacity additions vs. UCO/tallow/soy oil availability – who wins the margin battle?,LinkedIn,X,"US ag professionals, policy-aware investors",Tore Alden,Planned,Post,,,,rlc_2026-03-09,,EN,,
Chart of the Day - 1032026,3/10/2026,10,Tuesday,Chart of the Day,Soy oil vs ULSD spread,US Biofuels,Chart: Soy oil – ULSD economics and implications for renewable diesel run rates,X,LinkedIn,"Traders, analysts",Tore Alden,Planned,Post,,,,rlc_2026-03-10,,EN,,
Brazil Crop Update - 1032026,3/11/2026,10,Wednesday,Brazil Crop Update,Mato Grosso soy conditions,Brazil,"Brazil soy crop progress, weather, and export implications for Gulf basis",LinkedIn,WhatsApp (PT),"Brazilian farmers, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-03-11,,EN,,
USDA Snapshot - 1032026,3/12/2026,10,Thursday,USDA Snapshot,Export Sales / WASDE,US,USDA data reaction: what actually matters vs. headline numbers,X,LinkedIn,"US traders, ag economists",Tore Alden,Planned,Post,,,,rlc_2026-03-12,,EN,,
Market Structure Insight - 1032026,3/13/2026,10,Friday,Market Structure Insight,Oilseed demand outlook,Global,"How SAF, renewable diesel, and meal demand reshape global oilseed balances",LinkedIn,,"Executives, strategists",Tore Alden,Planned,Post,,,,rlc_2026-03-13,,EN,,
Market Microstructure - 1032026,3/14/2026,10,Saturday,Market Microstructure,Basis / spreads / flows,US + Global,What the basis/spread is really saying about physical tightness (with one clean chart),X,LinkedIn,"Traders, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-03-14,,EN,,
Weekend Recap - 1032026,3/15/2026,10,Sunday,Weekend Recap,Top 3 themes this week,US + Brazil,Three charts + five bullets: what moved markets this week and what’s next,LinkedIn,WhatsApp,Broad audience,Tore Alden,Planned,Post,,,,rlc_2026-03-15,,EN,,
SAF Watch - 1132026,3/16/2026,11,Monday,SAF Watch,SAF capacity & feedstock demand,US + Global,SAF capacity additions vs. UCO/tallow/soy oil availability – who wins the margin battle?,LinkedIn,X,"US ag professionals, policy-aware investors",Tore Alden,Planned,Post,,,,rlc_2026-03-16,,EN,,
Chart of the Day - 1132026,3/17/2026,11,Tuesday,Chart of the Day,Soy oil vs ULSD spread,US Biofuels,Chart: Soy oil – ULSD economics and implications for renewable diesel run rates,X,LinkedIn,"Traders, analysts",Tore Alden,Planned,Post,,,,rlc_2026-03-17,,EN,,
Brazil Crop Update - 1132026,3/18/2026,11,Wednesday,Brazil Crop Update,Mato Grosso soy conditions,Brazil,"Brazil soy crop progress, weather, and export implications for Gulf basis",LinkedIn,WhatsApp (PT),"Brazilian farmers, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-03-18,,EN,,
USDA Snapshot - 1132026,3/19/2026,11,Thursday,USDA Snapshot,Export Sales / WASDE,US,USDA data reaction: what actually matters vs. headline numbers,X,LinkedIn,"US traders, ag economists",Tore Alden,Planned,Post,,,,rlc_2026-03-19,,EN,,
Market Structure Insight - 1132026,3/20/2026,11,Friday,Market Structure Insight,Oilseed demand outlook,Global,"How SAF, renewable diesel, and meal demand reshape global oilseed balances",LinkedIn,,"Executives, strategists",Tore Alden,Planned,Post,,,,rlc_2026-03-20,,EN,,
Market Microstructure - 1132026,3/21/2026,11,Saturday,Market Microstructure,Basis / spreads / flows,US + Global,What the basis/spread is really saying about physical tightness (with one clean chart),X,LinkedIn,"Traders, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-03-21,,EN,,
Weekend Recap - 1132026,3/22/2026,11,Sunday,Weekend Recap,Top 3 themes this week,US + Brazil,Three charts + five bullets: what moved markets this week and what’s next,LinkedIn,WhatsApp,Broad audience,Tore Alden,Planned,Post,,,,rlc_2026-03-22,,EN,,
SAF Watch - 1232026,3/23/2026,12,Monday,SAF Watch,SAF capacity & feedstock demand,US + Global,SAF capacity additions vs. UCO/tallow/soy oil availability – who wins the margin battle?,LinkedIn,X,"US ag professionals, policy-aware investors",Tore Alden,Planned,Post,,,,rlc_2026-03-23,,EN,,
Chart of the Day - 1232026,3/24/2026,12,Tuesday,Chart of the Day,Soy oil vs ULSD spread,US Biofuels,Chart: Soy oil – ULSD economics and implications for renewable diesel run rates,X,LinkedIn,"Traders, analysts",Tore Alden,Planned,Post,,,,rlc_2026-03-24,,EN,,
Brazil Crop Update - 1232026,3/25/2026,12,Wednesday,Brazil Crop Update,Mato Grosso soy conditions,Brazil,"Brazil soy crop progress, weather, and export implications for Gulf basis",LinkedIn,WhatsApp (PT),"Brazilian farmers, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-03-25,,EN,,
USDA Snapshot - 1232026,3/26/2026,12,Thursday,USDA Snapshot,Export Sales / WASDE,US,USDA data reaction: what actually matters vs. headline numbers,X,LinkedIn,"US traders, ag economists",Tore Alden,Planned,Post,,,,rlc_2026-03-26,,EN,,
Market Structure Insight - 1232026,3/27/2026,12,Friday,Market Structure Insight,Oilseed demand outlook,Global,"How SAF, renewable diesel, and meal demand reshape global oilseed balances",LinkedIn,,"Executives, strategists",Tore Alden,Planned,Post,,,,rlc_2026-03-27,,EN,,
Market Microstructure - 1232026,3/28/2026,12,Saturday,Market Microstructure,Basis / spreads / flows,US + Global,What the basis/spread is really saying about physical tightness (with one clean chart),X,LinkedIn,"Traders, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-03-28,,EN,,
Weekend Recap - 1232026,3/29/2026,12,Sunday,Weekend Recap,Top 3 themes this week,US + Brazil,Three charts + five bullets: what moved markets this week and what’s next,LinkedIn,WhatsApp,Broad audience,Tore Alden,Planned,Post,,,,rlc_2026-03-29,,EN,,
